Дата	СМИ	text
2023-01-12	1000Банков (1000bankov.ru)	"Кэшбэк 1000 рублей или 100% за первую покупку по карте «180 дней без процентов». До 30.04.2023.
Газпромбанк запустил с 1 февраля 2023 года новую акцию с кешбэком по кредитной карте «180 дней без процентов».Если успеть оформить карту до 30 апреля 2023 года по акционной ссылке на сайте банка, то можно получить 1000 рублей кэшбэка, выполнив всего одно простое условие. Необходимо до конца действия акции совершить хотя бы одну покупку по карте «180 дней без процентов» из кредитных средств на сумму от 1000 рублей. Таким образом клиент получает 100% кэшбэк на свою первую покупку.Напоминаем, что по самой удобной карте Газпромбанка продолжается акция с увеличенным беспроцентным периодом 180 дней и бесплатным обслуживанием без дополнительных условий до 31 марта 2023 года.Кроме того, Газпромбанк вернул возможность получить по карте до 50% кешбэка за покупки у партнеров.Чем удобна кредитная карта «180 дней без процентов»:Кредитный лимит до 1 000 000 рублей.Процентная ставка  от 11,9% на покупки.Бесплатные СМС об операцияхБесплатный выпуск дополнительной картыБесплатное обслуживание по акции при оформлении до 31 марта, при покупках от 5000 рублей или при отсутствии задолженности, если вы не пользуетесь картой, а также при наличии действующей у клиента подписки «Огонь».
Кредитная карта «365 дней без %» 

Подать заявку
"
2023-01-17	1000Банков (1000bankov.ru)	"Кэшбэк 2000 рублей за Разумную кредитку. До 28.02.2023.
Банк Ренессанс Кредит снова раздает деньги за использование своей кредитной карты «Разумная». За покупки по карте можно получить 2000 рублей.Оформите карту «Разумная» онлайн на странице акции по 28 февраля 2023 года и получите 2000 рублей. В акции могут принять участие клиенты без действующей Разумной карты на 1 февраля 2023 года.Как работает акция:Оформить карту «Разумная».Оплатить ей любые покупки на общую сумму от 2000 рублей до 2 марта 2023 года.Получить от банка 2000 рублей на карту по 28 марта 2023 года.Что вы получите вместе с кредитной картой «Разумная МИР»:Кредитный лимит до 600 000 рублей.145 дней без процентов на всё: оплачивайте покупки, переводите и снимайте деньги без потери льготного периода.Бесплатное обслуживание навсегда. 
Кредитная карта «365 дней без %» 

Подать заявку
"
2023-01-24	1000Банков (1000bankov.ru)	"Деньги в подарок, а не в кредит от Тинькофф. До 27.02.2023.
Тинькофф Банк объявил о старте новой акции по потребительскому кредиту: “Деньги в подарок, а не в кредит”. Акция стартовала с 1 февраля и продлится до 27 февраля.Чтобы получить шанс не возвращать кредит или не платить проценты, подайте заявку на кредит наличными по этой ссылке  до 27 февраля 2023 года. Банк ответит сразу,  в день обращения.В случае одобрения сумму кредита банк переведет на дебетовую карту Тинькофф. Если карты еще нет, сотрудник банка привезет ее вам. Вы можете самостоятельно оформить карту Тинькофф Блэк. До 27 февраля активируйте кредит в приложении или по номеру 8 800 555‑777‑8.Призы будут разыграны 2 марта случайным образом. Имена победителей будут опубликованы на этой странице сайта Тинькофф Банка.Что разыгрывается:Деньги в подарок получат 3 победителя. Им не нужно будет возвращать кредит и платить проценты. Все выплаты, сделанные до выигрыша банк вернет.Кредит без процентов получат 5 победителей. Останется выплатить банку сумму кредита. Все ранее уплаченные проценты банк вернет на карту.Условия потребительского кредита наличными на любые цели от Тинькофф Банка:Сумма до 5 000 000 рублей. Процентная ставка по кредиту от 7,9% годовых.Срок договора до 5 лет.Досрочное погашение, обслуживание счета, информирование - бесплатно.До 60 дней до первого платежа.Платите картой или снимайте наличные от 3000 рублей без комиссии в период действия кредита.
Кредит наличными на любые цели без справок и поручителей

Подать заявку
"
2023-01-24	1000Банков (1000bankov.ru)	"Бесплатное обслуживание карты МТС 111 дней без % навсегда. До 10.03.2023.
МТС Банк предлагает россиянам стать своим клиентом в течение месяца и получить в подарок бесплатное обслуживание карты навсегда.Обслуживание кредитной карты с кэшбэком «МТС Cashback111 дней без %» будет бесплатным всегда без условий, если оформить ее по акции на сайте МТС Банка по 10 марта 2023 года включительно.Как получить бесплатную кредитку МТС:Заполните анкету на сайте и получите смс об одобрении карты.Заберите карту в салоне МТС, в отделении банка или закажите бесплатную доставку курьером.Оформите подписку МТС Premium для участия в акции с повышенным кэшбэком.Карта «МТС Cashback111 дней без %» предоставляет своим держателям возможность получать возврат средств с покупок:5% кэшбэк в супермаркетах с подпиской МТС Premium до 31 марта 2023 года.5% в кафе и ресторанах.5% на доставку еды.5% в магазинах одежды 5% в магазинах детских товаров1% за остальные покупкиДо 25% кэшбэка за покупки у партнеров сервиса МТС Cashback Кредитный лимит по карте может достигать 1 млн рублей. Кредитка имеет достаточно длительный беспроцентный грейс-период 111 дней. Распространяется он на покупки.
Кредитная карта с кэшбеком МТС КЭШБЭК 111 дней без %

Подать заявку
"
2023-02-01	1000Банков (1000bankov.ru)	"Дарите подарки любимым с Халвой и рассрочкой 18 месяцев. До 8.03.2023.
Совкомбанк запустил предпраздничную акцию по своей карте рассрочки «Халва»: «Дарите подарки любимым с Халвой». Теперь по этой карте еще выгоднее покупать подарки близким на 23 февраля и 8 марта.Максимальный срок рассрочки по «Халве» увеличен до 18 месяцев с 10 обычных. Для участия в акции активируйте ее в мобильном приложении «Халва-Совкомбанк» или на halvacard. ru в период действия акции. Если у вас еще нет карты, подать заявку необходимо как можно скорее, чтобы успеть совершить покупки с рассрочкой 18 месяцев.Участникам предоставляется бесплатно: Дополнительные 8 месяцев рассрочки на покупки заемными средствами в магазинах-партнерах. Максимальный срок не более 18 месяцев.Ежемесячная подписка «Халва.Десятка» с единым сроком рассрочки 10 месяцев на все покупки в магазинах-партнерах бесплатно на 30 дней.Если базовый срок рассрочки в магазине-партнере превышает 10 месяцев, то к покупке применяется базовый срок. Дополнительный срок рассрочки 8 месяцев суммируется со сроком рассрочки по подписке «Халва.Десятка». Вы не платите проценты за свои покупки, за вас это сделает магазин. Платеж делится на равные части каждый месяц. Основные преимущества карты «Халва»:Кэшбэк до 10%До 12% на остатокБесплатные переводыРассрочка 0%Обслуживание бесплатноСнятие наличных бесплатноАкция проводится с 13 февраля по 8 марта 2023 года.Заметим, что с 13 февраля 2023 года все граждане старше 50 лет автоматически получают карту «Социальная Халва», которая имеет ряд привилегий, по сравнению с обычной.
Карта рассрочки Халва - «Всегда без переплат!»

Подать заявку
"
2023-02-01	1000Банков (1000bankov.ru)	"Металлическая премиальная дебетовая карта Тинькофф только по 17 февраля
У Тинькофф Банка акция для премиальных клиентов и тех, кто хочет или стать. Но нужно поторопиться, акция продлится только по 17 февраля 2023 года.Оформите дебетовую карту Tinkoff Premium от Тинькофф Банка на специальной странице и получите премиальную карту топового банка в лимитированном металлическом дизайне. Карту доставят в удобное место и время, а пользоваться ей в приложении Тинькофф можно сразу!Если успеть подать заявку по 17 февраля, то вы станете обладателем повышенной доходности, доступа в бизнес-залы и стальной карты из лимитированной коллекции. Если у вас уже есть премиум-сервис c картой Tinkoff Black, вы сможете получить лимитированную карту, если друг подключит Tinkoff Premium по вашему приглашению в период акции.Подробные условия по премиальной дебетовой карте Тинькофф на этой странице.
Премиальная дебетовая карта Тинькофф Премиум

Оформить онлайн
"
2023-02-01	1000Банков (1000bankov.ru)	"Кэшбэк до 100% по Альфа-Карте - крутите барабан!
Альфа-Банк с 1 февраля 2023 года меняет условия программы лояльности для клиентов, предусматривающий возврат средств в виде кэшбэка за покупки по дебетовой карте. Теперь можно получить до 100% кэшбэка в месяц.Программа начисления кэшбэка по дебетовой Альфа-Карте полностью обновлена. Повышенное вознаграждение за покупки в размере 5% от потраченной суммы можно получать в 4-ех или 3-ех выбранных категориях. Категории можно выбирать и менять в приложении или личном кабинете на сайте Альфа-Банка. За все остальные покупки будет возвращаться кэшбэк 1%.Но главное нововведение - суперкэшбэк до 100% на одну категорию. Как выбрать категорию суперкэшбэка? Для этого нужно покрутить барабан! Сделать это можно в мобильном приложении банка:Откройте мобильное приложение Альфа-Банка.Пролистайте до раздела “Кэшбэк и привилегии”.Нажмите “Весь ваш кэшбэк”.Крутите барабан, чтобы определить категорию суперкэшбэка на месяц.В первый раз выбрать категории и покрутить барабан суперкэшбэка можно уже 1 февраля. Дальше можно менять категории начиная с 25 числа каждого месяца и получать кэшбэк сразу с 1 числа следующего месяца. Например, категории с повышенным кэшбэком на март можно выбрать с 25 февраля.Максимальный доступный кэшбэк - 5000 рублей в месяц.Основные условия по дебетовой Альфа-Карте с преимуществами:Валюта ₽, $, €, £, ₣Бесплатное снятие наличных в банкоматах банка и партнеровБесплатные платежи за мобильную связь, ЖКХ, штрафы ГИБДД и другие услугиБесплатное пополнение с карты любого банкаБесплатные переводы клиентам Альфа-БанкаПереводы по номеру телефона клиентам Альфа Банка бесплатно, остальным бесплатно до 100 000 руб. в месяцДоход до 9% годовых с накопительным Альфа-Счётом
Альфа-Карта с преимуществами

Оформить онлайн
"
2023-02-03	1000Банков (1000bankov.ru)	"До 5000 рублей обратно на карту Уралсиб «120 дней на максимум». До 12.03.2023
Банк Уралсиб запустил выгодную акцию для клиентов по своей кредитной карте «120 дней на максимум». Можно вернуть до 5000 рублей обратно на карту, если оформить ее на акционной странице до 12 марта 2023 года. Банк будет возвращать на карту каждый из первых 5-ти месяцев по 1 000 рублей. Итого можно получить за 5 месяцев всего 5000 рублей кэшбэка.Как получить 5000 рублей кэшбэка:Оформить карту в период действия акционного предложения.Совершать покупки по карте от 30 000 рублей в месяц.Не позднее 15-го рабочего дня месяца, следующего за месяцем выполнения условий, получить 1000 рублей на карту.В акции могут принять участие те клиенты, у которых в последние 12 месяцев до начала действия акции отсутствовала карта «120 дней на максимум». При невыполнении условий в один из 5 месяцев, вознаграждение не будет выплачено только за этот месяц, а клиент сможет дальше принимать участие в акции и получать вознаграждение за те месяцы, когда условие по обороту по карте было выполнено.Кредитная карта «120 дней на максимум» банка Уралсиб предлагает держателям:Кредитный лимит до 1 500 000 рублей.120 дней без процентов на покупки по карте.Бесплатное обслуживание при покупках от 10 000 рублей в месяц.Низкую ставку всего от 9,5% годовых.Бесплатное снятие наличных в любых банкоматах по всей стране без комиссии.
Кредитная карта 120 дней на максимум с обслуживанием 0 руб.

Подать заявку
"
2023-02-03	1000Банков (1000bankov.ru)	"Математика сильнее магии! Новая карта Тинькофф от Сыендука и 50% за покупки
Тинькофф снова запустил выдачу дебетовых карт для геймеров ALL Games с дизайном от Сыендука.""Математика сильнее магии!"" Так сказал единорог Ти и заказал себе новую карту ALL Games от Димы Сыендука. Единорога Ти создала команда SNDK и блогер Дима Сыендук. Он стал новым геймерским маскотом Тинькофф Банка. Заказать карту в новом дизайне можно на специальной акционной странице.Основным преимуществом дебетовой карты ALL Games от Тинькофф Банка является возможность копить бонусы и тратить их на технику и игры.Можно получить кэшбэк бонусами:до 5% за покупки у издателей игр, до 2% за развлечения и доставку еды, 1,5% за электронику и технику, до 5% за покупки в игровых магазинах, 1% за любые другие покупки. 1 бонус равен 1 рублю для покупок игр и техники.Бонусы можно потратить:На технику, игры и внутри игр: Консоли и девайсы. Покупки в Fortnite, Overwatch, Dota 2 и других играх.В магазинах игр: Включая PSN, Xbox, Nintendo, Steam, Origin, GOG.com, Xsolla, 1С-Интерес, Battle.net и т.д.В магазинах электроники: Например, М.Видео, Эльдорадо, DNS и т.д.
Дебетовая карта Тинькофф Блэк

Оформить онлайн
"
2023-02-09	1000Банков (1000bankov.ru)	"Вечное бесплатное обслуживание кредитки «Год без %» Альфа-Банка
С 9 февраля Альфа-Банк вновь улучшает условия по кредитке «Год без %».При оформлении кредитной карты Альфа-Банка «Год без %» на акционной странице банк дарит держателю вечное бесплатное обслуживание. При оформлении карты не по акции обслуживание является бесплатным только в первый год пользования. Далее стоимость обслуживания кредитки составляет 990 рублей в год. При оформлении карты по акции она будет бесплатной навсегда без каких-либо дополнительных условий.Напоминаем про другие преимущества кредитной карты Альфа-Банка:365 дней без процентов на любые покупки, совершенные в первые 30 дней.Кредитный лимит до 500 000 рублей.Снятие наличных до 50 000 рублей каждый месяц без комиссии.Бесплатная доставка карты курьером в удобное место и время.Кэшбэк до 33% за покупки на любую сумму у партнёров (маркетплейсов, онлайн-кинотеатров и такси) и до 2% на все.
Кредитная карта «365 дней без %» 

Подать заявку
"
